timestamp,open,high,low,close,volume,vwap
2025-01-02 05:00:00,80.54,81.605,76.531,78.63,70685332,78.808611
2025-01-03 05:00:00,79.99,82.91,79.62,82.4,46215782,81.437631
2025-01-06 05:00:00,84.97,86.85,84.03,85.21,46025002,85.577317
2025-01-07 05:00:00,85.72,85.89,79.705,80.62,55510477,82.274488
2025-01-08 05:00:00,80.56,81.41,78.44,80.68,48010618,80.231378
2025-01-10 05:00:00,78.8,78.82,75.23,76.83,72825832,76.843153
2025-01-13 05:00:00,74.05,76.2,73.34,76.03,56691006,74.673861
2025-01-14 05:00:00,77.48,78.06,74.1909,75.76,62635450,75.995991
2025-01-15 05:00:00,79.31,81.475,78.6,80.88,53459576,80.337663
2025-01-16 05:00:00,82.01,82.05,79.2,79.23,46527715,80.669539
2025-01-17 05:00:00,83.69,83.94,81.84,83.14,43676083,82.978692
2025-01-21 05:00:00,84.45,85.15,82.3305,84.52,41725896,83.997757
2025-01-22 05:00:00,86.84,88.91,86.71,87.8,43132663,88.016983
2025-01-23 05:00:00,86.54,88.38,86.27,88.34,30240482,87.11949
2025-01-24 05:00:00,88.43,88.83,86.01,86.75,36239633,87.449699
2025-01-27 05:00:00,77.58,81.03,77.18,79.14,80910839,78.904715
2025-01-28 05:00:00,79.58,83.1699,78.0,82.65,50516695,81.157581
2025-01-29 05:00:00,82.91,82.98,80.26,82.14,59240550,81.769328
2025-01-30 05:00:00,83.47,84.585,80.86,83.17,57585510,82.81891
2025-01-31 05:00:00,84.92,87.09,82.18,82.72,59334629,84.869467
2025-02-03 05:00:00,78.53,81.99,77.34,80.72,76461342,80.046312
2025-02-04 05:00:00,80.91,83.938,80.73,83.65,41696786,82.971391
2025-02-05 05:00:00,82.35,84.82,81.76,84.74,39847434,83.32187
2025-02-06 05:00:00,84.96,86.13,84.1948,86.01,38215508,85.150506
2025-02-07 05:00:00,86.26,87.19,82.3513,82.73,54689648,84.085818
2025-02-10 05:00:00,84.73,86.2,84.5,85.64,32748531,85.550569
2025-02-11 05:00:00,84.07,85.99,84.01,85.03,31301402,85.104219
2025-02-12 05:00:00,82.28,85.605,82.1,85.2,48493304,84.256313
2025-02-13 05:00:00,85.98,88.955,85.58,88.79,46460081,87.341287
2025-02-14 05:00:00,88.81,90.18,88.6,89.83,38028741,89.3158
2025-02-18 05:00:00,90.63,90.75,88.75,90.39,34412579,89.717647
2025-02-19 05:00:00,90.0,91.12,88.92,90.4,34058593,90.126358
2025-02-20 05:00:00,90.05,90.23,86.89,89.3,40133030,88.417756
2025-02-21 05:00:00,89.77,89.79,83.47,83.71,59313609,86.120706
2025-02-24 05:00:00,84.5,85.05,80.5,80.7,53233725,82.349591
2025-02-25 05:00:00,80.33,80.38,75.78,77.62,75597231,77.755436
2025-02-26 05:00:00,78.58,80.4499,76.69,78.12,63175733,78.741317
2025-02-27 05:00:00,79.72,80.17,71.48,71.64,103375523,75.538364
2025-02-28 05:00:00,71.46,75.17,70.075,74.92,93178974,72.230178
2025-03-03 05:00:00,76.37,77.05,68.435,70.08,91945843,72.946477
2025-03-04 05:00:00,68.76,72.77,66.01,69.31,130836942,68.974056
2025-03-05 05:00:00,69.55,72.685,67.49,72.01,100633296,70.135566
2025-03-06 05:00:00,68.39,70.4962,65.1716,66.04,122822703,67.536862
2025-03-07 05:00:00,65.56,68.01,62.89,67.41,135177332,65.666662
2025-03-10 04:00:00,64.0,64.19,57.88,59.81,156135791,60.778442
2025-03-11 04:00:00,59.4,61.85,57.3707,59.11,139489295,59.676471
2025-03-12 04:00:00,61.94,62.66,59.16,61.13,141918576,61.226049
2025-03-13 04:00:00,60.8,60.85,57.04,57.79,121227286,58.736938
2025-03-14 04:00:00,59.71,62.23,59.5,61.89,99108544,61.013936
2025-03-17 04:00:00,61.88,64.2799,61.15,63.09,90150374,62.659366
2025-03-18 04:00:00,61.77,61.78,59.01,59.91,87826225,59.967395
2025-03-19 04:00:00,60.68,63.91,59.94,62.24,92592573,61.775298
2025-03-20 04:00:00,60.66,63.63,60.37,61.6,88409063,62.091333
2025-03-21 04:00:00,59.53,62.415,59.0727,62.18,80490984,60.698225
2025-03-24 04:00:00,65.06,66.53,64.815,66.13,63411497,65.788209
2025-03-25 04:00:00,66.48,67.3701,66.09,67.31,55569695,66.829998
2025-03-26 04:00:00,66.64,66.99,62.76,63.38,79567687,64.387696
2025-03-27 04:00:00,62.6,64.23,61.75,62.3,72368042,62.997979
2025-03-28 04:00:00,61.54,61.81,56.97,57.34,103632136,58.532743
2025-03-31 04:00:00,54.72,57.628,53.04,57.3,106853872,55.302284
2025-04-01 04:00:00,56.68,58.9901,55.62,58.62,97098166,57.570609
2025-04-02 04:00:00,56.19,61.2,56.09,59.93,123087357,59.205616
2025-04-03 04:00:00,52.43,53.83,50.11,50.3,140115741,51.981382
2025-04-04 04:00:00,45.99,46.78,41.03,41.09,258022023,43.735073
2025-04-07 04:00:00,36.75,46.83,35.0,41.25,395727627,40.555473
2025-04-08 04:00:00,45.39,46.81,37.1,38.9,251133195,42.966399
2025-04-09 04:00:00,38.76,53.41,38.73,52.61,356851439,45.648273
2025-04-10 04:00:00,48.68,49.34,41.57,46.14,281692729,45.83807
2025-04-11 04:00:00,45.67,49.07,44.62,48.58,179292899,47.246492
2025-04-14 04:00:00,51.9,52.052,48.0749,49.6,147430727,50.01461
2025-04-15 04:00:00,49.96,51.2093,49.19,49.79,104670056,50.17024
2025-04-16 04:00:00,46.83,48.01,43.16,45.29,134574359,45.755386
2025-04-17 04:00:00,46.09,46.2895,44.35,45.16,101095820,45.402732
2025-04-21 04:00:00,43.37,43.64,40.24,41.86,114769688,41.462196
2025-04-22 04:00:00,43.46,45.98,43.1,45.06,130111034,44.651781
2025-04-23 04:00:00,49.24,50.8277,47.63,48.05,151997725,49.233257
2025-04-24 04:00:00,48.74,52.28,48.54,52.14,120307701,50.971345
2025-04-25 04:00:00,52.04,54.07,51.48,53.86,113051563,52.860913
2025-04-28 04:00:00,54.02,54.64,51.64,53.82,95678446,53.117664
2025-04-29 04:00:00,53.04,55.17,52.83,54.87,84904015,54.226347
2025-04-30 04:00:00,51.96,55.42,50.32,54.88,134223296,52.710504
2025-05-01 04:00:00,57.56,58.885,56.63,56.77,102740841,57.720249
2025-05-02 04:00:00,58.64,60.1867,58.03,59.43,97548936,59.345832
2025-05-05 04:00:00,57.9,59.5,57.7,58.4,69289492,58.648837
2025-05-06 04:00:00,56.06,58.04,55.57,56.74,82942944,56.858125
2025-05-07 04:00:00,56.96,58.26,55.085,57.4,104368572,56.663836
2025-05-08 04:00:00,59.2,60.71,57.66,59.11,98810788,59.445257
2025-05-09 04:00:00,59.8,60.2698,58.325,58.97,73409422,59.171045
2025-05-12 04:00:00,65.85,66.16,63.8508,66.11,101244950,65.109398
2025-05-13 04:00:00,66.67,69.86,66.36,69.14,85297723,68.819289
2025-05-14 04:00:00,69.61,70.6075,69.21,70.36,80592386,69.944415
2025-05-15 04:00:00,69.48,71.6899,68.93,70.58,80847372,70.269622
2025-05-16 04:00:00,71.11,71.52,69.65,71.45,63813609,70.7892
2025-05-19 04:00:00,68.47,71.86,68.43,71.64,71897093,70.643223
2025-05-20 04:00:00,70.58,71.1699,69.4001,70.89,67034708,70.470952
2025-05-21 04:00:00,69.24,71.99,67.18,67.94,109627584,69.584753
2025-05-22 04:00:00,68.16,69.7501,67.62,68.29,86771006,68.922479
2025-05-23 04:00:00,65.09,67.3401,64.8587,66.32,107110438,66.197992
2025-05-27 04:00:00,68.99,71.145,68.3893,70.94,65269766,70.122355
2025-05-28 04:00:00,71.34,71.94,69.78,70.03,66271337,70.929609
2025-05-29 04:00:00,73.0,73.0596,69.33,70.37,97717242,70.725591
2025-05-30 04:00:00,70.13,70.6,67.04,70.0,93559149,69.106108
2025-06-02 04:00:00,69.2,71.72,68.69,71.61,68962708,70.478925
2025-06-03 04:00:00,71.76,73.8799,71.4,73.28,64364182,72.908435
2025-06-04 04:00:00,73.58,74.32,72.71,73.87,64444452,73.836912
2025-06-05 04:00:00,74.45,75.65,71.3,72.15,99512462,73.701319
2025-06-06 04:00:00,74.27,75.01,73.54,74.21,65607693,74.441326
2025-06-09 04:00:00,74.31,75.24,73.84,74.54,50181894,74.735543
2025-06-10 04:00:00,74.71,76.285,73.76,75.98,61346475,75.198864
2025-06-11 04:00:00,76.59,77.075,74.22,75.2,90825988,75.81976
2025-06-12 04:00:00,74.6,76.1293,74.52,75.69,63055008,75.512546
